speaker_id,n_seg,n_sess,hours
9315,305,118,11.233197222222223
9615,338,143,9.82819722222222
10555,29,17,1.1503999999999999
11235,6,3,0.16122500000000003
11835,722,317,27.33118611111111
12935,126,79,3.933550000000001
12936,294,134,9.523225
12937,895,212,22.905008333333335
12938,543,278,17.075233333333333
12939,39,14,1.2478222222222222
12941,140,58,3.8159722222222223
12942,370,152,13.625797222222223
12943,53,32,1.3002805555555559
12944,107,46,2.1683833333333333
12945,580,378,17.480291666666666
12946,42,11,2.413880555555556
12947,542,192,22.85201944444444
12948,228,106,7.324669444444444
12950,36,21,1.1447694444444445
12951,1224,315,34.00175277777778
12952,470,191,17.786147222222223
12953,77,24,2.8901250000000003
12954,47,31,1.4933805555555555
12955,282,156,9.64498611111111
12956,262,126,8.004691666666666
12957,21,10,0.700338888888889
12958,30,28,0.7947805555555555
12959,231,104,8.4736
12960,105,45,2.830402777777778
12961,782,349,28.341222222222225
12962,61,39,1.8138416666666668
12963,90,37,5.545694444444443
12964,292,128,12.024536111111109
12965,79,40,3.3477583333333336
12966,190,81,5.031552777777778
13830,65,30,2.729844444444445
14470,110,59,3.6629388888888883
17630,30,20,1.1203472222222222
18990,23,17,0.7748527777777778
21431,9,4,0.2958444444444444
22091,1,1,0.09482777777777777
22151,102,82,3.585966666666666
22811,4,2,0.26866944444444446
22911,2,1,0.1879
23511,281,82,8.946966666666667
23512,364,116,12.022705555555557
23531,267,82,7.3210083333333325
23532,11,9,0.8897583333333333
23533,77,21,2.5776749999999997
23534,107,65,4.759552777777778
23551,176,70,5.751622222222221
23552,47,23,1.4822833333333334
23553,157,83,6.820577777777778
23555,56,17,2.423455555555555
23556,109,43,3.1254250000000003
23557,61,45,2.6848666666666667
23558,129,50,4.5309333333333335
23560,200,80,8.385119444444445
23564,594,107,18.48618888888889
23565,453,197,18.068475
23566,155,74,6.801433333333334
23567,153,82,8.205211111111112
23568,424,217,17.154038888888888
23569,180,94,6.7279222222222215
23570,102,62,4.623155555555555
23571,42,22,1.794627777777778
23572,37,19,1.2207138888888889
23573,248,105,8.343644444444445
23591,531,211,17.008477777777777
23592,53,33,1.9714944444444444
23594,218,122,8.712794444444445
23595,56,20,2.314208333333333
23596,512,192,20.495627777777777
23597,609,213,19.314844444444446
23598,95,51,5.121555555555555
