speaker_id,n_seg,sessions,hours,n_words,n_chars,wer_A,cer_A,wer_B,cer_B,gain_abs,gain_rel,wer_A_lo,wer_A_hi,wer_B_lo,wer_B_hi,gain_abs_lo,gain_abs_hi,reliable,S_share_A,D_share_A,I_share_A,S_share_B,D_share_B,I_share_B,runaway_A,runaway_B,first_date,last_date,speaker_name,gender,origin,nationality,religion,orientation,age_mean,wpm_median,hours_corpus,label
23573,126,14,0.533967,3388,17624,0.561098,0.356786,0.422078,0.304131,0.13902,0.247764,0.497547,0.630157,0.360558,0.494885,0.113505,0.162887,True,0.478695,0.0857443,0.43556,0.314685,0.0587413,0.626573,1,3,2018-11-08,2018-12-31,יוסי יונה,Male,Israel,Jewish,Jewish,Unrecorded,65.4624,110.911,0.533967,mk
23591,255,255,0.950843,6874,34468,0.403259,0.254294,0.309427,0.215098,0.0938318,0.232684,0.371264,0.439906,0.276253,0.345635,0.0750616,0.112946,True,0.456349,0.12013,0.423521,0.333333,0.112365,0.554302,3,3,2018-11-05,2025-08-06,אלעזר שטרן,Male,Israel,Jewish,Jewish,Religious,67.1524,127.273,26.8732,mk
23594,197,14,0.966696,7113,37000,0.255026,0.144946,0.183467,0.119,0.0715591,0.280595,0.232738,0.279677,0.161694,0.207076,0.0607693,0.0827978,True,0.544101,0.119625,0.336273,0.42069,0.115709,0.463602,1,1,2020-03-24,2026-01-06,יאיר לפיד,Male,Israel,Jewish,Jewish,Secular,57.6153,126.761,1.0102,mk
23596,312,35,0.932431,6537,33097,0.460915,0.319153,0.328591,0.250899,0.132324,0.287089,0.416309,0.509728,0.280494,0.386451,0.11066,0.156081,True,0.453037,0.216064,0.330899,0.322626,0.200186,0.477188,2,3,2018-11-04,2020-02-04,יעל גרמן,Female,Israel,Jewish,Jewish,Secular,71.4865,123.96,1.91874,mk
23597,259,259,0.935003,6125,30918,0.384327,0.250728,0.288653,0.209522,0.0956735,0.248938,0.346422,0.429098,0.251051,0.335017,0.07987,0.11141,True,0.475786,0.173322,0.350892,0.32862,0.18552,0.48586,1,1,2018-11-05,2025-11-04,מאיר כהן,Male,MENA,Jewish,Jewish,Unrecorded,67.1168,114.648,17.7739,mk
23599,235,18,0.948419,7065,36294,0.388393,0.239985,0.238783,0.161983,0.149611,0.385204,0.359539,0.421446,0.213565,0.269095,0.130724,0.170958,True,0.532799,0.194971,0.27223,0.377001,0.116775,0.506224,2,2,2018-11-05,2018-12-25,עליזה לביא,Female,Israel,Jewish,Jewish,Religious,54.802,130.705,1.29553,mk
23600,245,108,0.952339,6919,35598,0.397023,0.266981,0.313629,0.237766,0.0833936,0.210047,0.34936,0.451762,0.26313,0.37154,0.0652191,0.103808,True,0.428103,0.250819,0.321078,0.297235,0.261751,0.441014,0,2,2018-11-05,2020-12-21,עפר שלח,Male,Israel,Jewish,Jewish,Secular,60.4735,118.962,18.2993,mk
23601,221,65,0.945895,7063,36362,0.4222,0.268797,0.313181,0.214427,0.109019,0.258216,0.380794,0.463507,0.276526,0.355117,0.0909081,0.128879,True,0.492622,0.192153,0.315225,0.37387,0.167722,0.458409,0,0,2018-11-05,2020-12-14,יואל רזבוזוב,Male,FSU,Jewish,Jewish,Secular,40.08,122.449,2.6672,mk
23631,300,300,0.939835,5274,26686,0.474592,0.298883,0.297308,0.221839,0.177285,0.373552,0.430731,0.519686,0.258185,0.3379,0.149269,0.204783,True,0.526568,0.126648,0.346784,0.311224,0.112245,0.576531,6,4,2018-11-05,2025-05-28,קארין אלהרר,Female,Israel,Jewish,Jewish,Secular,45.8341,104.248,26.0435,mk
23632,258,258,0.907363,5737,28765,0.411016,0.262089,0.301203,0.218808,0.109813,0.267176,0.378653,0.446086,0.271306,0.336547,0.0932732,0.12837,True,0.489398,0.125954,0.384648,0.355903,0.109954,0.534144,1,3,2018-11-05,2023-02-08,מיקי לוי,Male,Israel,Jewish,Jewish,Secular,72.0323,112.635,52.5486,mk
