speaker_id,n_seg,hours,wer_A,wer_B,gain_abs,gain_abs_lo,gain_abs_hi,gain_rel
30881,254,0.961814,0.311618,0.232628,0.0789902,0.0641983,0.0945979,0.253484
30773,25,0.0952244,0.345118,0.257576,0.0875421,0.0578775,0.124791,0.253659
528,213,0.613036,0.633109,0.471871,0.161238,0.136092,0.188244,0.254677
30058,248,0.934583,0.418812,0.311732,0.10708,0.086132,0.129282,0.255676
23558,310,0.922117,0.524372,0.389945,0.134427,0.112299,0.155115,0.256358
30067,202,0.957959,0.29538,0.219283,0.0760974,0.0625029,0.0913828,0.257625
30687,111,0.581226,0.310615,0.230486,0.0801289,0.0674027,0.0919564,0.257969
23601,221,0.945895,0.4222,0.313181,0.109019,0.0909081,0.128879,0.258216
2178,248,0.940149,0.371257,0.27483,0.0964278,0.0772643,0.117948,0.259733
30083,206,0.982667,0.310885,0.23004,0.0808443,0.0673282,0.0945398,0.260046
30859,266,0.971292,0.294907,0.218207,0.0767002,0.0643096,0.0891083,0.260083
30768,375,0.876433,0.522511,0.386217,0.136294,0.115349,0.156189,0.260844
1027,247,0.977415,0.345514,0.255104,0.09041,0.0748509,0.106563,0.261668
30715,195,0.964966,0.316448,0.233568,0.0828791,0.0701979,0.0961371,0.261905
30836,41,0.172333,0.228896,0.168831,0.0600649,0.0333242,0.0844187,0.262411
563,296,0.955042,0.473044,0.348493,0.124551,0.106347,0.14221,0.263296
30081,268,0.952384,0.402501,0.296219,0.106282,0.0888561,0.12817,0.264053
12961,121,0.434793,0.446537,0.328372,0.118165,0.0887058,0.146074,0.264626
30055,274,0.941446,0.446613,0.328179,0.118434,0.102264,0.135066,0.265183
30786,222,0.980821,0.286351,0.210342,0.0760092,0.063995,0.0880052,0.265441
511,252,0.931439,0.361275,0.265319,0.0959565,0.0794635,0.115547,0.265605
23560,258,0.889476,0.483934,0.355242,0.128692,0.111357,0.14771,0.265929
30063,241,0.973725,0.422793,0.309963,0.11283,0.0959064,0.12988,0.266868
23632,258,0.907363,0.411016,0.301203,0.109813,0.0932732,0.12837,0.267176
30289,241,0.924841,0.407266,0.298275,0.108991,0.0921948,0.127593,0.267615
30702,337,0.935908,0.428193,0.313534,0.114659,0.0936781,0.136989,0.267774
30765,220,0.920984,0.451786,0.328928,0.122858,0.108464,0.136753,0.271938
30700,235,0.949072,0.373543,0.271151,0.102392,0.0895567,0.11567,0.27411
28513,258,0.945791,0.352539,0.255797,0.0967421,0.0829096,0.111231,0.274415
4355,259,0.8395,0.373725,0.271097,0.102628,0.0821278,0.124677,0.274607
30693,250,0.929277,0.520563,0.377159,0.143403,0.125388,0.161405,0.275477
30743,201,0.972856,0.258846,0.187491,0.0713552,0.059981,0.0848018,0.275666
30657,128,0.736451,0.250634,0.181393,0.0692413,0.057332,0.0824053,0.276265
30832,261,0.960074,0.311316,0.225004,0.086312,0.0716316,0.101741,0.277249
30806,250,0.960357,0.283293,0.204636,0.0786571,0.0642384,0.0937027,0.277652
30799,307,0.98755,0.267922,0.193338,0.0745836,0.0579241,0.0950859,0.278378
30720,245,0.983827,0.297367,0.214577,0.0827904,0.0683183,0.0957169,0.278412
23570,118,0.403585,0.334945,0.241457,0.0934881,0.0708068,0.1145,0.279115
1057,321,0.930774,0.444078,0.320108,0.123971,0.107001,0.142654,0.279164
30082,223,0.951715,0.303493,0.218498,0.0849951,0.0635184,0.11215,0.280056
23594,197,0.966696,0.255026,0.183467,0.0715591,0.0607693,0.0827978,0.280595
30520,37,0.187197,0.474315,0.340753,0.133562,0.0969792,0.16709,0.281588
30782,224,0.950323,0.378994,0.272198,0.106796,0.0921887,0.123682,0.281789
30817,220,0.939224,0.384781,0.27558,0.1092,0.094402,0.124023,0.283799
30407,142,0.455557,0.515611,0.36847,0.147141,0.119932,0.176892,0.285372
30779,55,0.106357,0.366313,0.261484,0.104829,0.0637095,0.145864,0.286174
30094,69,0.182285,0.362307,0.258327,0.103981,0.0752815,0.139207,0.286996
23596,312,0.932431,0.460915,0.328591,0.132324,0.11066,0.156081,0.287089
30690,278,0.976836,0.277635,0.197615,0.0800205,0.0694322,0.0912453,0.288222
30821,187,0.994932,0.269055,0.191244,0.0778109,0.0648298,0.0915453,0.289201
1025,201,0.975816,0.274963,0.19538,0.0795827,0.0675588,0.0926257,0.289431
30763,230,0.939803,0.410338,0.291295,0.119044,0.0997308,0.137017,0.290111
30857,223,0.985936,0.270095,0.191731,0.0783636,0.0659728,0.0916715,0.290133
12964,104,0.432596,0.460853,0.326531,0.134323,0.103112,0.170435,0.291465
30558,217,0.964831,0.361355,0.254124,0.107231,0.0905097,0.123267,0.296746
1056,280,0.895269,0.567652,0.398811,0.168842,0.148475,0.188145,0.297439
30069,207,0.955326,0.405319,0.284397,0.120922,0.102886,0.140521,0.298338
30777,226,0.982764,0.283871,0.198452,0.0854194,0.0743578,0.0951713,0.300909
30797,189,0.95187,0.363514,0.254027,0.109487,0.0932089,0.126365,0.30119
4416,204,0.966381,0.319894,0.223436,0.0964581,0.0766944,0.114577,0.301532
30894,63,0.283197,0.321203,0.223101,0.0981013,0.0733501,0.121012,0.305419
4395,204,0.963518,0.325176,0.225109,0.100067,0.0866268,0.11577,0.307732
23551,226,0.963347,0.323409,0.223515,0.0998942,0.0840125,0.115822,0.308879
30709,247,0.949709,0.431666,0.297683,0.133983,0.114068,0.157266,0.310385
30714,235,0.915963,0.510123,0.351445,0.158678,0.137914,0.18002,0.311058
30707,179,0.855343,0.445332,0.306581,0.138752,0.121898,0.15606,0.311569
23569,267,0.747717,0.505143,0.347429,0.157714,0.134504,0.181437,0.312217
30816,207,0.954354,0.426454,0.292734,0.13372,0.114725,0.153827,0.313563
30660,269,0.948273,0.313989,0.215173,0.098816,0.0809361,0.115295,0.314711
23652,289,0.928313,0.555781,0.379919,0.175862,0.154926,0.199536,0.316423
30750,217,0.942807,0.377815,0.25745,0.120364,0.104858,0.135958,0.31858
468,178,0.904966,0.645604,0.439068,0.206535,0.179672,0.231068,0.319911
4405,297,0.970165,0.341824,0.232459,0.109365,0.0901509,0.128895,0.319946
488,203,0.753231,0.427678,0.290047,0.13763,0.119604,0.157511,0.321809
30847,185,0.9659,0.295825,0.199903,0.0959213,0.0825482,0.110497,0.324251
22151,209,0.913567,0.32319,0.218146,0.105044,0.0913099,0.119917,0.325021
965,80,0.36775,0.455243,0.306905,0.148338,0.117068,0.184721,0.325843
23566,320,0.959186,0.33642,0.225679,0.110741,0.0972371,0.124922,0.329174
9615,46,0.143264,0.327869,0.218852,0.109016,0.0790855,0.141446,0.3325
23534,170,0.680397,0.521166,0.347644,0.173522,0.14591,0.202305,0.33295
30078,294,0.915514,0.56936,0.379764,0.189596,0.167527,0.211981,0.332999
30787,238,0.902897,0.454517,0.300373,0.154145,0.13338,0.176063,0.339139
30555,173,0.52839,0.473973,0.312329,0.161644,0.139918,0.186871,0.34104
30713,187,0.981216,0.377739,0.248594,0.129145,0.11191,0.146679,0.341889
580,21,0.0858681,0.772806,0.507745,0.26506,0.203269,0.331212,0.342984
12951,197,0.977946,0.322037,0.210707,0.111329,0.0866288,0.139556,0.345704
427,228,0.955004,0.485616,0.315679,0.169937,0.14694,0.193799,0.349941
30776,316,0.946863,0.483855,0.3125,0.171355,0.151622,0.192767,0.354146
30548,195,0.966011,0.360976,0.23252,0.128455,0.110507,0.14631,0.355856
30840,199,0.960705,0.310544,0.199625,0.11092,0.0966099,0.128983,0.357179
30066,214,0.963326,0.348339,0.223754,0.124585,0.105289,0.143181,0.357654
30803,175,0.611428,0.472272,0.303201,0.169071,0.14928,0.18872,0.357995
12963,140,0.741517,0.308454,0.196877,0.111577,0.0968988,0.127695,0.361728
23568,226,0.95962,0.340024,0.215433,0.124591,0.104883,0.144899,0.366419
560,251,0.947911,0.430701,0.271583,0.159117,0.139124,0.178408,0.369438
30752,262,0.972457,0.362479,0.227633,0.134846,0.115655,0.153147,0.37201
1061,94,0.402774,0.480696,0.30123,0.179465,0.147154,0.213078,0.373345
23631,300,0.939835,0.474592,0.297308,0.177285,0.149269,0.204783,0.373552
23599,235,0.948419,0.388393,0.238783,0.149611,0.130724,0.170958,0.385204
23642,24,0.0928983,0.827004,0.508439,0.318565,0.247815,0.412776,0.385204
12945,72,0.34856,0.476397,0.289981,0.186416,0.129795,0.251808,0.391304
4412,174,0.600494,0.437056,0.261477,0.17558,0.150562,0.201552,0.401733
30095,187,0.823846,0.802003,0.441488,0.360515,0.32157,0.399274,0.449518
30064,32,0.154418,0.605809,0.33112,0.274689,0.227396,0.330572,0.453425
467,28,0.168867,0.219409,0.117089,0.102321,0.0738509,0.133648,0.466346
12962,75,0.212082,0.865772,0.446682,0.41909,0.372367,0.463317,0.484065
30716,29,0.161587,0.368235,0.170588,0.197647,0.160272,0.239229,0.536741
557,138,0.598511,0.496674,0.225918,0.270756,0.247548,0.295912,0.545139
448,107,0.547857,0.795554,0.360728,0.434827,0.384387,0.482941,0.546571
30628,46,0.251317,0.473649,0.214189,0.259459,0.172018,0.353826,0.547789
498,23,0.163144,0.235229,0.0992196,0.136009,0.101772,0.174911,0.578199
